product_id,name,price,category
1,But,377.78,A
2,Plant,219.12,D
3,While,156.09,B
4,Third,232.23,C
5,Determine,336.77,B
6,Toward,300.68,A
7,Ready,302.73,D
8,Individual,289.6,B
9,But,226.71,B
10,Wind,192.67,B
11,Military,53.96,C
12,Meeting,179.42,A
13,Require,112.45,C
14,Get,166.52,C
15,Growth,0.19,D
16,However,182.3,B
17,Reduce,3.08,D
18,Who,17.38,D
19,Fact,173.84,C
20,Section,463.69,D
21,Or,164.74,D
22,Require,78.29,D
23,Instead,446.89,C
24,Purpose,482.9,D
25,Surface,385.08,D
26,Truth,345.84,C
27,Executive,258.98,A
28,When,369.57,A
29,Finish,226.64,B
30,Military,480.91,C
31,Short,417.58,D
32,Approach,101.17,C
33,Despite,47.85,A
34,Against,75.02,B
35,Middle,86.85,C
36,Power,82.54,A
37,Family,366.81,C
38,Sell,300.69,C
39,Benefit,332.35,D
40,Compare,94.96,A
41,Seem,494.84,D
42,Another,445.42,A
43,Will,122.19,C
44,Include,119.54,C
45,Get,116.59,D
46,Than,94.08,D
47,Quickly,188.12,B
48,Professor,297.26,B
49,During,15.89,A
50,Friend,287.32,A
51,Figure,323.15,C
52,Art,84.9,A
53,Drive,225.21,B
54,Fear,366.52,A
55,Activity,493.12,A
56,Full,350.85,A
57,Local,277.08,D
58,Put,486.07,A
59,He,294.41,D
60,Degree,114.17,B
61,Quite,268.38,D
62,Theory,127.84,C
63,Nearly,166.01,A
64,Democrat,496.77,C
65,Suddenly,368.85,C
66,East,480.39,B
67,Thing,393.59,B
68,Authority,109.09,A
69,Talk,187.84,A
70,Good,50.93,C
71,Deal,72.45,D
72,Myself,405.16,B
73,Must,124.33,C
74,Article,423.93,D
75,Store,55.2,C
76,Age,386.17,B
77,Discuss,54.34,A
78,Career,240.69,B
79,Great,50.51,C
80,Throw,464.84,B
81,Subject,272.22,B
82,Human,190.84,A
83,Evidence,130.75,D
84,Area,342.14,C
85,Television,179.98,C
86,Begin,301.36,A
87,Forward,452.29,C
88,Specific,336.36,D
89,Special,136.14,A
90,My,3.13,C
91,Citizen,444.96,A
92,Society,476.47,D
93,Others,245.89,C
94,Real,494.79,B
95,Ball,404.8,B
96,Own,86.76,C
97,Rock,175.91,D
98,Expect,33.8,D
99,Hit,492.96,A
100,Include,303.94,D
101,Decade,26.25,A
102,Economy,456.31,D
103,Almost,197.38,B
104,Stage,193.52,B
105,Worry,233.86,D
106,Never,110.46,B
107,Need,438.54,C
108,Enough,225.81,C
109,Back,137.34,A
110,Bar,476.1,B
111,Plant,454.89,B
112,Firm,64.82,C
113,Feeling,285.58,A
114,Present,463.1,B
115,Attack,497.98,D
116,Full,325.1,D
117,Test,404.19,A
118,Past,116.84,D
119,Condition,284.27,A
120,Sort,421.04,C
121,Language,431.58,D
122,These,313.56,B
123,Determine,89.25,D
124,Amount,467.23,D
125,Church,361.88,A
126,Public,486.3,D
127,Expect,219.46,D
128,Lawyer,70.04,B
129,That,188.62,D
130,Early,212.54,A
131,Half,197.49,B
132,One,370.68,A
133,Knowledge,283.05,D
134,Language,100.36,D
135,Pick,6.02,B
136,Against,274.25,B
137,Area,278.79,D
138,Recognize,173.66,D
139,Which,136.67,C
140,Whole,385.1,A
141,View,207.5,C
142,Customer,167.75,B
143,Dog,387.61,C
144,Somebody,377.21,D
145,Enjoy,444.58,B
146,Decision,340.21,A
147,Large,233.7,C
148,Of,199.78,A
149,Stage,452.47,B
150,Issue,66.05,C
151,Ten,314.72,C
152,Democratic,274.24,D
153,Share,450.97,C
154,Sing,175.13,A
155,Why,433.19,D
156,Model,97.77,A
157,Technology,429.87,B
158,Tonight,86.01,D
159,Example,155.78,D
160,Democratic,483.0,C
161,Group,37.28,A
162,Agency,342.84,A
163,Suffer,82.07,D
164,One,109.02,D
165,Break,428.57,A
166,Involve,88.36,C
167,Concern,261.09,C
168,Among,257.17,B
169,Sport,458.99,D
170,Capital,465.74,B
171,Animal,94.45,C
172,Dog,55.94,B
173,Contain,129.06,B
174,Forward,223.42,D
175,Myself,354.99,A
176,Save,447.07,D
177,Yet,163.61,D
178,Foot,260.2,D
179,Have,362.85,C
180,Safe,447.68,B
181,Music,466.98,D
182,Five,63.68,C
183,Box,119.17,D
184,Employee,95.29,B
185,Lawyer,168.52,D
186,Movement,114.71,A
187,Lot,53.91,D
188,Shoulder,325.26,B
189,Test,423.67,C
190,Face,268.48,D
191,Mean,209.42,C
192,Stage,97.57,C
193,Near,437.66,B
194,Traditional,484.09,D
195,Effort,8.32,D
196,Begin,333.54,D
197,Cost,227.67,A
198,American,219.84,D
199,Rate,247.81,C
200,Short,450.59,A
201,Risk,267.3,A
202,Fine,76.75,D
203,Throughout,414.4,A
204,Kitchen,16.54,C
205,President,168.11,B
206,Traditional,361.91,A
207,Magazine,255.25,C
208,Factor,90.69,C
209,Certain,26.41,B
210,Garden,179.81,A
211,Although,51.32,B
212,Room,268.79,A
213,Become,68.27,C
214,Least,188.17,C
215,Report,419.07,D
216,Until,354.64,D
217,Fast,169.27,D
218,Man,325.07,A
219,Cold,144.07,C
220,History,280.42,C
221,Experience,486.14,C
222,Environment,69.95,C
223,Congress,43.12,D
224,Across,417.46,C
225,Thus,167.86,C
226,Line,455.05,B
227,End,403.1,B
228,Agency,2.35,C
229,Establish,356.83,B
230,Shake,62.55,D
231,Story,493.63,C
232,Difference,447.95,C
233,Indicate,117.29,D
234,Agreement,150.81,D
235,Then,226.71,A
236,Administration,109.68,D
237,Several,271.74,C
238,Indeed,84.95,A
239,Open,322.66,D
240,College,125.48,A
241,Yet,420.1,C
242,Agent,399.11,A
243,Factor,371.95,A
244,Live,257.45,C
245,Various,159.58,C
246,Security,437.01,A
247,Medical,309.63,C
248,Particularly,156.46,A
249,Perhaps,355.32,A
250,Brother,124.59,D
251,His,290.9,C
252,Indicate,40.46,C
253,A,2.22,A
254,Your,104.71,A
255,Car,255.76,B
256,Easy,301.93,B
257,By,194.25,A
258,Tell,469.79,B
259,Successful,420.39,D
260,Debate,330.64,B
261,Environment,390.21,C
262,Statement,126.49,D
263,Control,181.69,C
264,Suddenly,250.24,B
265,Sense,249.16,A
266,Television,279.21,A
267,Stay,373.89,A
268,Purpose,472.26,D
269,Camera,133.16,B
270,Activity,353.84,D
271,Worry,395.16,B
272,Fear,196.94,D
273,Also,161.43,D
274,It,18.18,C
275,Special,96.71,B
276,Training,364.1,A
277,Carry,143.31,C
278,New,231.58,B
279,Manage,138.45,A
280,Cut,200.98,A
281,Possible,10.26,A
282,Mention,221.39,A
283,Feeling,79.68,C
284,Pass,68.84,C
285,Effect,47.36,D
286,Decade,96.98,C
287,Work,45.15,D
288,Century,448.81,D
289,Your,70.46,B
290,Learn,148.19,B
291,Approach,70.51,A
292,Old,197.53,B
293,Purpose,430.33,B
294,Glass,137.34,C
295,Turn,28.98,D
296,Opportunity,243.96,D
297,Accept,33.95,B
298,Both,233.8,B
299,Sit,86.1,B
300,Health,187.56,C
301,Fear,339.05,D
302,Very,37.03,D
303,Project,108.8,C
304,Story,120.3,B
305,Civil,290.83,B
306,Fly,141.69,D
307,Language,382.22,B
308,Reveal,152.56,D
309,Attorney,203.12,C
310,Various,296.61,B
311,Throughout,403.76,B
312,Both,67.89,B
313,Must,403.35,A
314,Indicate,319.8,A
315,Return,299.3,D
316,Begin,61.7,B
317,Article,34.45,D
318,Job,477.63,A
319,Few,120.66,A
320,Machine,108.79,D
321,Man,451.18,D
322,Indicate,418.26,A
323,Network,89.39,B
324,Bill,165.51,B
325,Believe,381.17,D
326,South,298.64,B
327,Live,404.88,A
328,Evening,494.74,A
329,Like,333.45,C
330,Put,24.07,B
331,Since,159.34,C
332,Series,223.63,B
333,Officer,492.9,B
334,Tonight,83.11,A
335,Bar,85.29,D
336,Drug,235.56,C
337,News,493.19,D
338,Force,54.07,D
339,Low,221.83,A
340,Wear,241.8,C
341,He,415.85,C
342,Choose,381.17,A
343,See,478.0,B
344,Old,490.58,A
345,Set,382.57,C
346,Different,259.25,C
347,Near,490.21,C
348,Lose,484.1,B
349,Reason,364.51,B
350,Call,233.52,A
351,Democratic,56.49,D
352,Bring,54.5,C
353,Our,97.95,C
354,Chair,126.24,C
355,This,236.51,D
356,Subject,213.39,A
357,Until,444.46,C
358,Executive,268.72,C
359,Address,446.68,D
360,Under,393.77,A
361,A,13.74,C
362,Assume,242.0,D
363,Structure,345.07,C
364,Many,181.74,A
365,Stand,141.49,A
366,Sister,59.21,B
367,My,406.85,C
368,Mouth,159.59,B
369,Treat,477.9,B
370,Herself,273.8,C
371,Coach,372.14,B
372,Newspaper,129.7,C
373,Hospital,489.56,D
374,Computer,93.01,C
375,Product,227.09,B
376,Six,303.73,C
377,Individual,268.07,D
378,Worker,402.16,C
379,Avoid,320.76,A
380,Election,251.75,B
381,Alone,14.16,C
382,Every,112.49,D
383,Any,404.25,A
384,Human,142.5,B
385,Force,66.03,A
386,Commercial,53.62,C
387,International,312.52,A
388,Particularly,176.5,D
389,Few,412.15,D
390,Miss,317.9,A
391,Public,386.29,A
392,Member,443.02,B
393,Follow,78.79,A
394,Family,416.27,B
395,Or,42.87,A
396,Serve,160.85,D
397,Author,18.41,C
398,I,145.8,A
399,Themselves,28.0,D
400,Usually,213.25,B
401,Thus,329.65,A
402,Cup,365.07,A
403,Chair,92.34,D
404,Sure,20.77,C
405,Type,379.71,D
406,Able,76.41,B
407,Space,351.48,B
408,Few,124.12,D
409,Truth,332.91,B
410,Entire,207.3,C
411,Television,246.22,C
412,Without,142.82,A
413,Ball,416.37,A
414,Can,355.48,D
415,Move,131.59,C
416,Else,39.95,C
417,Power,216.68,B
418,Two,359.15,D
419,Big,268.97,B
420,How,348.48,D
421,Professional,279.68,B
422,Dog,138.92,C
423,Sit,409.63,B
424,Style,459.68,A
425,Leave,43.08,B
426,That,49.01,C
427,Account,415.61,A
428,Deep,180.33,A
429,We,254.11,D
430,Follow,237.35,D
431,Mother,20.0,D
432,Situation,455.77,C
433,Bar,191.05,D
434,Look,378.22,C
435,Marriage,467.64,D
